City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Wanaka,NZ,-44.7,169.15,46.11,68,19,2.53,few clouds
222,Port Hardy,CA,50.6996,-127.4199,51.98,93,75,2.3,shower rain
223,Imeni Poliny Osipenko,RU,52.4201,136.4853,45.91,87,99,1.99,overcast clouds
224,Ponta Do Sol,PT,32.6667,-17.1,76.01,85,2,3.09,clear sky
225,Kavaratti,IN,10.5669,72.642,80.44,79,94,9.71,overcast clouds
226,Nouakchott,MR,18.0858,-15.9785,85.93,65,0,12.41,clear sky
227,Yarensk,RU,62.1675,49.0916,49.6,91,100,4.27,overcast clouds
228,Kaitangata,NZ,-46.2817,169.8464,44.29,74,22,8.25,few clouds
229,Ilulissat,GL,69.2167,-51.1,41.02,81,40,10.36,scattered clouds
230,Axim,GH,4.8699,-2.2405,74.86,92,95,6.06,overcast clouds
231,Khatanga,RU,71.9667,102.5,29.95,95,95,16.17,light snow
232,Piacabucu,BR,-10.4056,-36.4344,73.65,78,0,7.36,clear sky
233,Esqueda,MX,30.7167,-109.5833,88.97,22,0,10.4,clear sky
234,Sao Joao Da Barra,BR,-21.6403,-41.0511,64.49,90,100,16.87,overcast clouds
235,San Joaquin,US,37.9333,-121.3011,83.19,44,0,3.44,clear sky
236,Ahuimanu,US,21.4447,-157.8378,85.78,64,94,5.97,overcast clouds
237,Mirnyy,RU,62.5353,113.9611,39.65,88,91,9.71,overcast clouds
238,Sechura,PE,-5.5569,-80.8222,75.85,59,33,14.34,scattered clouds
239,Ilheus,BR,-14.7889,-39.0494,72.34,79,0,4.59,clear sky
240,Meadow Lake,US,34.8014,-106.5436,88.3,21,0,12.33,clear sky
241,Sao Joao Dos Patos,BR,-6.495,-43.7022,89.31,26,100,4.88,overcast clouds
242,Martapura,ID,-3.4167,114.85,75.29,88,100,5.75,overcast clouds
243,Sal Rei,CV,16.1833,-22.9167,78.98,81,17,15.35,few clouds
244,Moncada,ES,39.5456,-0.3955,79.61,72,0,5.75,clear sky
245,Viedma,AR,-40.8135,-62.9967,64.26,45,100,6.51,overcast clouds
246,Tual,ID,-5.6667,132.75,81.28,79,100,14.0,overcast clouds
247,Grand Gaube,MU,-20.0064,57.6608,71.38,68,3,5.99,clear sky
248,Hithadhoo,MV,-0.6,73.0833,80.96,74,29,4.05,scattered clouds
249,Ranong,TH,9.9658,98.6348,78.15,82,65,10.02,broken clouds
250,Pangnirtung,CA,66.1451,-65.7125,44.96,69,100,3.69,overcast clouds
251,Xiongzhou,CN,25.1167,114.3,73.13,59,0,0.85,clear sky
252,Guerrero Negro,MX,27.9769,-114.0611,74.93,62,0,18.88,clear sky
253,Morondava,MG,-20.2833,44.2833,71.73,91,2,9.35,clear sky
254,Kiunga,PG,-6.1219,141.2906,73.09,100,100,0.98,overcast clouds
255,Cananeia,BR,-25.0147,-47.9267,62.6,86,50,8.95,scattered clouds
256,Mulege,MX,26.8833,-111.9833,91.56,44,0,8.43,clear sky
257,Key Largo,US,25.0865,-80.4473,82.99,67,99,9.89,light rain
258,Yar-Sale,RU,66.8333,70.8333,50.13,81,100,7.31,overcast clouds
259,Nerchinskiy Zavod,RU,51.3088,119.61,43.23,96,100,4.32,moderate rain
260,Esmeralda,CU,21.8525,-78.1169,89.76,54,86,14.45,overcast clouds
261,Bull Savanna,JM,17.8868,-77.5902,83.25,66,27,3.31,scattered clouds
262,Khandbari,NP,27.3747,87.2039,70.23,91,100,2.42,light rain
263,Mao,ES,39.8885,4.2658,72.16,83,20,5.75,few clouds
264,Broome,US,42.2506,-75.833,73.62,64,100,5.01,overcast clouds
265,Galbshtadt,RU,53.2264,78.9845,43.54,65,3,8.43,clear sky
266,Nanortalik,GL,60.1432,-45.2371,48.99,86,100,9.24,light rain
267,Vardo,NO,70.3705,31.1107,46.38,93,75,21.85,light intensity drizzle
268,Mnogovershinnyy,RU,53.9353,139.9242,39.7,61,99,3.47,overcast clouds
269,Yuanli,TW,24.4397,120.6535,76.8,94,20,1.14,few clouds
270,Bengkulu,ID,-3.8004,102.2655,74.8,90,100,4.32,overcast clouds
271,Namibe,AO,-15.1961,12.1522,67.17,86,100,9.89,overcast clouds
272,Izumo,JP,35.3667,132.7667,72.64,81,99,5.84,overcast clouds
273,Ballina,AU,-28.8667,153.5667,62.02,97,100,4.29,overcast clouds
274,Skopelos,GR,39.1247,23.7247,78.42,75,0,5.88,clear sky
275,Husavik,IS,66.0449,-17.3389,44.67,80,79,1.81,broken clouds
276,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,79.54,89,100,3.06,overcast clouds
277,Teknaf,BD,20.8624,92.3058,77.22,92,77,4.32,broken clouds
278,Price,US,39.5994,-110.8107,70.83,30,58,5.53,broken clouds
279,Arraial Do Cabo,BR,-22.9661,-42.0278,65.16,80,100,9.75,overcast clouds
280,Bilibino,RU,68.0546,166.4372,35.73,85,100,6.67,overcast clouds
281,Maningrida,AU,-12.0667,134.2667,74.57,92,60,2.04,broken clouds
282,Athens,GR,37.9795,23.7162,78.4,81,0,4.0,clear sky
283,Boo,SE,59.3333,18.2833,52.03,87,75,10.36,broken clouds
284,Cuamba,MZ,-14.8031,36.5372,76.5,36,76,2.37,broken clouds
285,Gimli,CA,50.6336,-96.9907,55.49,86,100,14.65,overcast clouds
286,Hambantota,LK,6.1241,81.1185,77.47,83,7,14.92,clear sky
287,Ixtapa,MX,20.7,-105.2,88.23,76,100,3.0,overcast clouds
288,Sur,OM,22.5667,59.5289,88.38,55,7,6.22,clear sky
289,Humaita,BR,-7.5061,-63.0208,88.93,44,84,2.35,broken clouds
290,Inirida,CO,3.8653,-67.9239,79.25,93,100,1.92,overcast clouds
291,Hamilton,US,39.1834,-84.5333,85.75,50,0,9.22,clear sky
292,Taoudenni,ML,22.6783,-3.9836,98.02,13,0,11.3,clear sky
293,Beloha,MG,-25.1667,45.05,70.02,73,15,5.86,few clouds
294,El Astillero,ES,43.4009,-3.8205,68.88,76,75,5.75,broken clouds
295,Kolokani,ML,13.5728,-8.0339,73.9,69,100,3.18,overcast clouds
